Host,Provider,IP (External),IP (Internal),Open Ports,HTTP Status,HTTP Title,Risk Rating,Findings,Technologies,WAF,DNS Records
akamai-apigateway-deliveryopsapi1.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-deliveryopsapi1.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-deliveryopsapi1.tesla.com.edgekey.net"
akamai-apigateway-deliveryopsvitu.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-deliveryopsvitu.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-deliveryopsvitu.tesla.com.edgekey.net"
akamai-apigateway-dev-captiveunderwriting.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-dev-captiveunderwriting.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-dev-captiveunderwriting.tesla.com.edgekey.net"
akamai-apigateway-dev-warptmsapiserver-upgrade.tesla.com,cdn-akamai,"104.80.228.227, 173.223.116.49, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-dev-warptmsapiserver-upgrade.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:173.223.116.49, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-dev-warptmsapiserver-upgrade.tesla.com.edgekey.net"
akamai-apigateway-dev-warptmsapiserver.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-dev-warptmsapiserver.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-dev-warptmsapiserver.tesla.com.edgekey.net"
akamai-apigateway-ehs-stg.de.tesla.com,cdn-akamai,"23.206.84.250, 2a02:26f0:6d00:5a2::b12, 2a02:26f0:6d00:5a5::b12",,"80, 443",403,Access Denied,N/A,,,,"A:23.206.84.250, AAAA:2a02:26f0:6d00:5a2::b12, AAAA:2a02:26f0:6d00:5a5::b12, CNAME:apigateway-edge.de.tesla.com.edgekey.net"
akamai-apigateway-ehs-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-ehs-stg.tesla.com.edgekey.net"
akamai-apigateway-ehs-stg2.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-ehs-stg.tesla.com.edgekey.net"
akamai-apigateway-ehs.de.tesla.com,cdn-akamai,"23.211.187.167, 2a02:26f0:6d00:5a2::b12, 2a02:26f0:6d00:5a5::b12",,"80, 443",301 -> https://akamai-apigateway-ehs.de.tesla.com/,,N/A,,,generic detection,"A:23.211.187.167, AAAA:2a02:26f0:6d00:5a2::b12, AAAA:2a02:26f0:6d00:5a5::b12, CNAME:apigateway-edge.de.tesla.com.edgekey.net"
akamai-apigateway-ehs.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-ehs.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-ehs.tesla.com.edgekey.net"
akamai-apigateway-einvoicing.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://www.tesla.com/,,N/A,,,,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-einvoicing.tesla.com.edgekey.net"
akamai-apigateway-financial-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-financial.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-finplat-prd.tesla.com.edgekey.net"
akamai-apigateway-finplateng-defi.tesla.com,cdn-akamai,"104.80.228.227, 2.17.212.94, 2a02:26f0:6d00:598::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:2.17.212.94, AAAA:2a02:26f0:6d00:598::700, CNAME:akamai-apigateway-finplateng-defi.tesla.com.edgekey.net"
akamai-apigateway-finplateng-routeone.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-finplateng-routeone.tesla.com.edgekey.net"
akamai-apigateway-finplateng.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-finplateng.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-finplateng.tesla.com.edgekey.net"
akamai-apigateway-fta.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-fta.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-fta.tesla.com.edgekey.net"
akamai-apigateway-inventorytxnextapi.tesla.com,cdn-akamai,"104.80.228.227, 173.223.116.49, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-inventorytxnextapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:173.223.116.49, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-inventorytxnextapi.tesla.com.edgekey.net"
akamai-apigateway-logisticsratesapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-logisticsratesapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-logisticsratesapi.tesla.com.edgekey.net"
akamai-apigateway-materials.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-materials.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-materials.tesla.com.edgekey.net"
akamai-apigateway-mfs-stg.de.tesla.com,cdn-akamai,"23.211.187.167, 2a02:26f0:6d00:5a2::b12, 2a02:26f0:6d00:5a5::b12",,"80, 443",301 -> https://akamai-apigateway-mfs-stg.de.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:23.211.187.167, AAAA:2a02:26f0:6d00:5a2::b12, AAAA:2a02:26f0:6d00:5a5::b12, CNAME:akamai-apigateway-mfs-stg.de.tesla.com.edgekey.net"
akamai-apigateway-mfs-supplier-uat.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-mfs-supplier-uat.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-mfs-supplier-uat.tesla.com.edgekey.net"
akamai-apigateway-mfs-supplier.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-mfs-supplier.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-mfs-supplier.tesla.com.edgekey.net"
